nombre_empresa,url,query_origen,fecha_busqueda
FEMSA Logística,https://www.femsa.com,FALLBACK_DEMO,2026-03-10
Bepensa Distribución,https://www.bepensa.com,FALLBACK_DEMO,2026-03-10
Grupo Lala,https://www.grupolala.com,FALLBACK_DEMO,2026-03-10
Distribuidora Arca Continental,https://www.arcacontal.com,FALLBACK_DEMO,2026-03-10
Sigma Alimentos,https://www.sigma-alimentos.com,FALLBACK_DEMO,2026-03-10
Maseca / Gruma,https://www.gruma.com,FALLBACK_DEMO,2026-03-10
Estafeta Mexicana,https://www.estafeta.com,FALLBACK_DEMO,2026-03-10
Pinfra Logística,https://www.pinfra.com.mx,FALLBACK_DEMO,2026-03-10
Grupo Traxion,https://www.traxion.com,FALLBACK_DEMO,2026-03-10
Logística Fácil MX,https://www.logisticafacil.mx,FALLBACK_DEMO,2026-03-10
